tick,utc_time,block,tx_hash,feeder,channel,tier,obrain_burned,poke_word,poked_cells,spiked,synapses,capped,p0,p1,p2,p3,state_root,fired_ids
27,2026-09-20T10:38:20Z,21825690,0x1e81361cdff0c13b10ac417264031daed86c668e9e64f89ca08fe1aede5f85b0,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,32,2,10000,20203181441137406086353707335680,12,12,21,false,0,9390,11807,62,0xa39250a9fb4c688f4c51abe0108cfd5c2314c487d156096d004923f1e78f007a,31 32 33 91 92 93 151 152 153 211 212 213
28,2026-09-20T10:44:37Z,21826434,0xec27a8c1e32c7823082f09d03065e6363738646776172b3b3f9e4a9a63beeacb,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,15,1,1000,4468415255281664,5,5,8,false,0,9202,11571,61,0x22b3a10f014b1a38f967f0613ca3c81f98254b60e649fd671315b015a1971d5f,14 74 134 194 254
29,2026-09-20T10:44:46Z,21826451,0x715a9b56a676c2d41cc6662a2908b96d45d3822a0fa530eba08831d9586a8916,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,15,1,1000,4468415255281664,15,15,24,false,0,9018,11340,60,0xe4de891bb15c22b77fd5ea542f971e02dda3e773c4c804db9773e53c641c53b4,13 14 15 73 74 75 133 134 135 193 194 195 253 254 255
30,2026-09-20T10:49:10Z,21826971,0x7ca4b4f1152af8a761b3d1a4e09acb85cbbf7be8227f8a34849a2aa395d1f856,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,16,1,1000,35747322042253312,9,9,14,false,0,8838,11113,59,0x9ea18e2f908a9a79bf2f5aac05d93f6a43d4613f4c101a387c389778a4ffc3ec,15 16 75 76 135 136 195 196 255
31,2026-09-20T14:54:55Z,21856040,0x551ee2c13ebcb6310464a1496c90f54934fa54de3a8dbf6b6db727e7e0780f3d,0x81b4bf458a73ea46fadd46ee8236e5f94c4eb8e0,3,1,1000,65024,10,10,17,false,0,0,0,8023,0xa1f6e490e156816e3f069d7d502953989873e60ffa1e1cf1e478108e9f45e837,1 2 61 62 121 122 181 182 241 242
32,2026-09-20T14:57:14Z,21856315,0x4da88a602ca8c6c200c483a4464ecd4e8785d6ab516ba37c29a4dde03276a374,0x3f67980a7a45b1f25f78c725426b027a9231f800,48,0,100,691323101154449317387607266452099206685392896,8,8,11,false,0,0,0,7863,0x4db8924cd03aa5c5304e2759b8d93d2409f5627743e4093804e6b3ac2c82b682,46 47 106 107 166 167 226 227
33,2026-09-20T14:57:40Z,21856366,0xd55075b49b1337622fd0f3392d0066180c9c50ed9cc71cc82564a94fd67322a4,0x3f67980a7a45b1f25f78c725426b027a9231f800,48,1,1000,2832194640213389138975036220626341911259512832,4,4,5,false,0,0,0,7706,0x6b19743691db386534e3dc0fe4b96c12413d95267b5135d477b469fe5d95c863,47 107 167 227
34,2026-09-20T14:58:18Z,21856440,0x03300afae55a5edf6d849958d0bf137ec5df75d747b379b7fb071fa678c2b962,0x3f67980a7a45b1f25f78c725426b027a9231f800,48,1,1000,2832194640213389138975036220626341911259512832,12,12,19,false,0,0,0,7552,0x2712c9db81887e127e34bcf595d3a70e8bcf4209408d4c5c5ebc56a33cf5a072,46 47 48 106 107 108 166 167 168 226 227 228
35,2026-09-20T15:00:24Z,21856689,0x7eec882790f31da2171670569e1dc7264200a0b8f849c08fbe9052ac3191352f,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,1,1000,146421031085069565952,4,4,5,false,0,0,0,7401,0x6c53c24f3a2bc7e2fd284f010fa34c49c415739ac9ec9d605bba0b04ee33330a,19 79 139 199
36,2026-09-20T15:00:34Z,21856708,0xcf6b4f53d938ae03ad210811751fecb38d7e7a4e1fd33367bc49254309beb4ef,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,1,1000,146421031085069565952,12,12,18,false,0,0,0,7253,0x184b3557968f78145e74648b74f3e93ae250bf76d095e0c9da818b5709ea115f,18 19 20 78 79 80 138 139 140 198 199 200
37,2026-09-20T15:00:38Z,21856717,0xbed1c8fe8fbd7db15f4f297be7c7671b0f3314c8ceb65f35c30f2b32b1e2dc59,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,1,1000,146421031085069565952,4,4,5,false,0,0,0,7108,0x27c4de07e3977109efb794a3510b3ad7650925bfa998cc88f0cd3cb2efb945a6,19 79 139 199
38,2026-09-20T15:00:43Z,21856725,0x93b1e4a0f7d680ba3ccb7b178d9eea16aed4672146165b4f90120d5a19102fc7,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,1,1000,146421031085069565952,12,12,18,false,0,0,0,6966,0x691e99018e5f72e3381cb3706ffe53c59b6ffc5ae544ae16017ef0b9d86f1ae0,18 19 20 78 79 80 138 139 140 198 199 200
39,2026-09-20T15:04:32Z,21857178,0x9997c9ec5dc5c7a67a48348f4fdaa6ca2be37f24df79fb24e5ee4ab228269056,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,2,10000,293994983674745978880,8,8,11,false,0,0,0,6827,0x77a2d1e6fe35922f2979956c6ce3547b338b3523ade28bb8b40d9c58183bc438,19 20 79 80 139 140 199 200
40,2026-09-20T15:04:45Z,21857204,0xd8ea6f3b130b0d3553baa7536a66e91bf6261dc65a44e8db390e7df7cbf13c6e,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,2,10000,293994983674745978880,12,12,18,false,0,0,0,6690,0x7ca23ab8685ac592bf97439179e809576ee7658f2d40de15c273831aede99c96,18 19 20 78 79 80 138 139 140 198 199 200
41,2026-09-21T07:40:52Z,21975015,0x3a7c98e5922b3c2cb37f9a5a4e30f37f870a7ab03d58a6c8b7b606ab7b3731d2,0x3f67980a7a45b1f25f78c725426b027a9231f800,10,1,1000,136365211648,10,10,19,false,0,0,0,6556,0x2bc1e56ea2a71175b92be2ef5c87442c4e4bae9c096957ad23ba843f640413bd,9 10 69 70 129 130 189 190 249 250
42,2026-09-21T07:40:56Z,21975024,0x1fed29c8644aab116f3e5d6a70bdb1ea5d566d88931700564ebba910df43a86a,0x3f67980a7a45b1f25f78c725426b027a9231f800,10,1,1000,136365211648,10,10,19,false,0,0,0,6425,0x050d87cfd46a1fcbb451fc63d5bd5a3e6cdd0cce7476a7e7564c177b030a67ba,8 9 68 69 128 129 188 189 248 249
43,2026-09-21T07:41:01Z,21975034,0x3f4b1253ae46f6d2b663212209f856c27cf3496ac2ac9825a32cbdde2e67de8c,0x3f67980a7a45b1f25f78c725426b027a9231f800,52,1,1000,11600669246314041913241748359685496468518964559872,8,8,10,false,0,0,0,6296,0x2d22ea4ef34547f3db6bf0f21862cd3bfe2e68c3eb88be4f9b1c4b62a16202bc,50 51 110 111 170 171 230 231
44,2026-09-21T07:41:09Z,21975049,0xc32cb52a4fdaa90f2d0226d9748401950dd70d523b6799f98941cd2aa8d53eb1,0x3f67980a7a45b1f25f78c725426b027a9231f800,2,1,1000,8128,5,5,8,false,12042,0,7965,7111,0xdc8090156496904f4fa508410b07a6f2a3a044ad6a515e6244e7352df20a4b83,1 61 121 181 241
45,2026-09-21T07:41:16Z,21975063,0x6ff6cba397424966fc07bcec08a1340685fb7fe6d47ac876f73d0283ed6cf3bc,0x3f67980a7a45b1f25f78c725426b027a9231f800,2,1,1000,8128,15,15,27,false,0,0,0,7910,0x6ce6051d8bfe0e216e35e7a23de72b61264d2828f1c0631d588cb0f7276f1642,0 1 2 60 61 62 120 121 122 180 181 182 240 241 242
46,2026-09-21T07:41:20Z,21975072,0x0e24767a5c2458fd409f0df3603fc6f941eaab6562e8bd328e82c3ccb38ac72c,0x3f67980a7a45b1f25f78c725426b027a9231f800,36,1,1000,41213856314620194301460814613184512,4,4,6,false,0,0,0,7752,0xcf5710dc5a3347d23a53ef7552637f369e6ecd5c5272f026fa4d6b80a456589f,35 95 155 215
47,2026-09-21T07:41:28Z,21975087,0x696e1f2db2438b2e6407b4cb67e6b91f582ff8c85437c1d162a4ebc66b94cf98,0x3f67980a7a45b1f25f78c725426b027a9231f800,31,1,1000,1257747079913946359297510211584,4,4,3,false,0,0,0,7597,0x80252909779580cbc2b14ad36bbf24db06e840d6f21856e15678ab01a4892205,30 90 150 210
48,2026-09-21T07:41:32Z,21975095,0xe6e24f16f4d15f5b40e27d32219438f0fcce0c1226c120cc8a03dcd7f3014e0d,0x3f67980a7a45b1f25f78c725426b027a9231f800,22,1,1000,9370945989444452220928,4,4,8,false,0,0,0,7445,0x00ceb412ef6323c5281fcd5616f0de915a5a5b9509f8a672ff95ada14514bcee,21 81 141 201
49,2026-09-21T07:41:35Z,21975102,0x71eb3defb437e83dfbb3807deaa79af24b1648ea540b95703907b5b8c5df8170,0x3f67980a7a45b1f25f78c725426b027a9231f800,13,1,1000,69818988363776,10,10,18,false,0,0,0,7296,0xede8e0c279fc91c94bae53b4ed0ff2afe494792113b728e0bf9e78d4bb259cea,11 12 71 72 131 132 191 192 251 252
50,2026-09-21T12:44:35Z,22010936,0x9f641c7c868736456b167002663c65d82500cf7d460a5560160ecef017c05753,0x6f473d0de3fb42554fd35625a333dbb6e0f04b98,41,0,100,329648542954659136480144150949525454848,4,4,8,false,0,0,0,7150,0x15baa5788a218bce29b973ed16fcc838ea58b4c63dca454ba730dc5d09f8b4dc,40 100 160 220
51,2026-09-21T12:44:53Z,22010972,0x171a1e28db45f5ab810ea615b7bebce3037172d489c8128e393a51f3e3b3220b,0x6f473d0de3fb42554fd35625a333dbb6e0f04b98,9,1,1000,17045651456,5,5,10,false,0,0,0,7007,0x51db2e9c90e6e8a7545a6f57b3088bcade6d4c8e29bcb356ee68ce7a635caae4,8 68 128 188 248
52,2026-09-21T12:45:25Z,22011034,0x32fad1514347d8adcc2a50f70c85b7eb490d254d989e5d822164cdf7a580ce5e,0x6f473d0de3fb42554fd35625a333dbb6e0f04b98,22,1,1000,9370945989444452220928,12,12,22,false,0,0,0,6867,0x8abb92b79c5830b411f0b6d4b546844e68e1aa0a5723f04c7e1c7ffce0306d0f,20 21 22 80 81 82 140 141 142 200 201 202
53,2026-09-21T12:46:30Z,22011163,0x865a4ee64b97a479d22c9f3f0bffc5b7caad821d48c2e58d39d6362c2fc33d7b,0x6f473d0de3fb42554fd35625a333dbb6e0f04b98,28,1,1000,2456537265456926483002949632,4,4,7,false,0,0,0,6730,0x16879f247fc4b0cea791fbc3d986e2fc063243a52cfc146ee27b8df154d5b061,27 87 147 207
54,2026-09-21T12:47:37Z,22011294,0x59b87debb34bf38e07678eaff4055e383196cb294bc91970a72bc53a5dda19cd,0x96a78d1989ee8322263c38b9c7a2a3c00f35494c,24,0,100,146393360968959001624576,4,4,8,false,0,0,0,6595,0x7618742b60eff729ac9fb484810eeec23df0a68a31f14fb8e38bd87c6346e6ac,23 83 143 203
55,2026-09-21T16:45:17Z,22037743,0xae20a56e06f9ce53bb2608cedd0928c1fe68e06936e96f4d4d8d00db2e4fac26,0x3f67980a7a45b1f25f78c725426b027a9231f800,29,2,10000,39459338752221496262409584640,8,8,10,false,0,0,0,6463,0xa732389b487679c664b707c748d7edee66b7b5afb425f4a8791472deaa7a1c49,28 29 88 89 148 149 208 209
56,2026-09-21T16:45:24Z,22037756,0xbcb329643085c2aad7365f65dc03dc406c0fcac6d2994db95e70d2ab6d274bfb,0x3f67980a7a45b1f25f78c725426b027a9231f800,29,2,10000,39459338752221496262409584640,12,12,17,false,0,0,0,6334,0x4c6ff862dff4362dcbd1b7e36652566598d1630135091f436d5847d2bf5e354c,27 28 29 87 88 89 147 148 149 207 208 209
57,2026-09-21T16:45:28Z,22037764,0xd401fb9986e9cebc1b7de60fe824fd620ad0a3a320cb84f5f0fe532998c4b1d7,0x3f67980a7a45b1f25f78c725426b027a9231f800,29,2,10000,39459338752221496262409584640,8,8,10,false,0,0,0,6207,0xebbb5fc7f8755a833f6a609325aa1196c98dff018a8dff336bf5e391952be8e6,28 29 88 89 148 149 208 209
58,2026-09-21T16:51:48Z,22038514,0xc0d5a53d8747982a94d571d9ca98425a386e95ac53e8c6d45086d6c66ccf68bc,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,15,15,24,false,0,0,0,6083,0x235dfe0722aa457d473b65892f02e3ee57733f39b3ebdadc9cada4eec211c444,13 14 15 73 74 75 133 134 135 193 194 195 253 254 255
59,2026-09-21T16:51:53Z,22038524,0xde915b9676ce7e6b6364df0505d9ef5b39762068f15fb9f7581128339eeb832a,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,10,10,16,false,0,0,0,5961,0xb3e1ee08c5f5a356a3c58c1add8af7ce61fc4c7be68454af4a0dd5ea11fd71a3,14 15 74 75 134 135 194 195 254 255
60,2026-09-21T16:51:59Z,22038535,0x3739bd07973388fc9666a93eec3127814ed1478921787d4b5c8fdfdb552f304c,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,15,15,24,false,0,0,0,5842,0xf07d93b3444cbd467c643840dbe97546635262ab1fcc68fcc1e2697d614daadc,13 14 15 73 74 75 133 134 135 193 194 195 253 254 255
61,2026-09-21T16:52:05Z,22038548,0x0fa24cf48fd5fc5d60c236f4119ebf45558b4927dcec9dab46873bcc348fee5c,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,10,10,16,false,0,0,0,5725,0x93e9507c80200cfe170681825c3cfc451915087e771b571123941a19c052c03e,14 15 74 75 134 135 194 195 254 255
62,2026-09-21T16:52:14Z,22038565,0xdb583fb8cc49524eef0309d395f41f2a2f332e510bc1c00e62272fb88319d1ad,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,15,15,24,false,0,0,0,5610,0x1e9bb16467cbbbdc52cf015afecf0b6058a36607bc5778bc252d7939154bac4d,13 14 15 73 74 75 133 134 135 193 194 195 253 254 255
63,2026-09-21T16:52:25Z,22038586,0xa0e4aeb08a7a74492ec670da1a9243ec4e1230bed5c686c1c135e28498ad35de,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,10,10,16,false,0,0,0,5498,0x2b9094840f7909546a67276aaed07d71ea718d58efccb2c5c103df77a005c03c,14 15 74 75 134 135 194 195 254 255
64,2026-09-21T16:53:13Z,22038680,0x488311c4a0c5c08b15dbe955919905d4bce957e3a855bf4ba1b746adccc56feb,0x3f67980a7a45b1f25f78c725426b027a9231f800,15,2,10000,8972014882652160,19,19,30,false,0,0,0,5388,0x8a003932f5d0b3d7126fadcad7536963c466b433354399a35f4252833dec3898,13 14 15 16 73 74 75 76 133 134 135 136 193 194 195 196 253 254 255
65,2026-09-21T16:58:21Z,22039288,0x8bdcbbb130987598c1078034b546cd092fc4fbe5431f1c73b3da50752fce0830,0x3f67980a7a45b1f25f78c725426b027a9231f800,17,2,10000,574208952489738240,8,8,11,false,0,0,0,5280,0x2eea4aca21d3cd0b3a1ece997aefb7e418d2d03dd50eb1acbd5e0b1d688dde40,16 17 76 77 136 137 196 197
66,2026-09-21T17:01:29Z,22039658,0xf893ad0ef37ed72015de124c577db7ffce4b8f3a4960d083fa57811911aeea15,0x3f67980a7a45b1f25f78c725426b027a9231f800,47,1,1000,354024330026673642371879527578292738907439104,4,4,6,false,0,0,0,5174,0xf2eedc9bb04dee8e64223dd5ff0a31b49d1bd8de73854e4123668cfbbb7c802a,46 106 166 226
67,2026-09-21T17:01:30Z,22039661,0x46bad7d8f48407067e26b8b1b321bd8720fa4e34c6f467c0f399e72a3f4afab8,0x3f67980a7a45b1f25f78c725426b027a9231f800,17,2,10000,574208952489738240,13,13,19,false,0,0,0,5070,0xd577fb04df83723465eff6a2874df2458b00703c48604f3436a6be677fe757f4,15 16 17 75 76 77 135 136 137 195 196 197 255
68,2026-09-21T17:03:11Z,22039859,0xc3ce053040167a9a73a8e2835761d397fb21ebc5436903eb64e082b3884f8bff,0x3f67980a7a45b1f25f78c725426b027a9231f800,16,1,1000,35747322042253312,5,5,8,false,0,0,0,4969,0x59d0825473cb14c9eee68b1f8cf8c625e3f0255afeb73dec76cef6caa6da0aa9,15 75 135 195 255
69,2026-09-21T17:03:21Z,22039879,0x55c04a7f19740403bd249ea0ef34b1f0b764809ad4932cff135ef0165b1f59e6,0x3f67980a7a45b1f25f78c725426b027a9231f800,19,1,1000,18302628885633695744,8,8,12,false,0,0,0,4870,0xd21e272eac7c9b2e956322d3c87bd4adecc00b81eea620bab3e57f9bcad048ba,17 18 77 78 137 138 197 198
70,2026-09-21T17:03:26Z,22039889,0xfbad83a52373001fb4829749832a462f9515370c21453e624e8637130d2e9640,0x3f67980a7a45b1f25f78c725426b027a9231f800,19,1,1000,18302628885633695744,8,8,12,false,0,0,0,4773,0xcf34e04f9e2a4d2758492bd83674f9901252310fd3f020ce1bfc56232ea2f657,18 19 78 79 138 139 198 199
71,2026-09-21T17:04:56Z,22040067,0xa216057d9e5ef1d40a35296ee9e1acee89da28aac24c31750f6efb21c28f31ec,0x3f67980a7a45b1f25f78c725426b027a9231f800,16,1,1000,35747322042253312,14,14,22,false,0,0,0,4678,0x4858409b55bd86cb029dfa0b13e139ea403a799766bd9386420600332815abd4,14 15 16 74 75 76 134 135 136 194 195 196 254 255
72,2026-09-21T17:05:05Z,22040085,0xe4f6ae544dfc812cc697d024b7b7544aeea0e310b514927a4fb5801a3d7f244c,0x3f67980a7a45b1f25f78c725426b027a9231f800,40,2,10000,338953138925153547590470800371487866880,8,8,13,false,0,0,0,4584,0x694a99dd5da42442ec0a4257b6fefa3afb36ac1ff994adecd198643af60c20ed,39 40 99 100 159 160 219 220
73,2026-09-21T17:05:32Z,22040138,0xf222c026b88978c6125f748d9f56ef57233616e3ba88f1951763d6b97ab9aa1c,0x3f67980a7a45b1f25f78c725426b027a9231f800,34,2,10000,1293003612232793989526637269483520,8,8,14,false,0,0,0,4492,0xc7f367f26052395691c5f2f5356eb45d755483707c5a9b9ca2257dbec6a93cf6,33 34 93 94 153 154 213 214
74,2026-09-21T17:05:48Z,22040168,0x4dc05069265856e073e4bb9f581392e45f9891817bf353465a10d7c935a052ce,0x3f67980a7a45b1f25f78c725426b027a9231f800,20,1,1000,146421031085069565952,4,4,5,false,0,0,0,4402,0xedc500d77219c0227490c5fd4851097e8d75376026358e247aa67c699b5d2c8c,19 79 139 199
