fly,block,owner,brain,parent_blockhash,seed,alleles,eyes,body,wings,size,genome
82,22838838,0x0818404d4e07ff38c42d15cff5d2f22fc907977e,0xbb32f964cc794c641ff96f12c58e538815019d49,0x656f84dec1bdeab5edf3538f75ac23339bc335e7723347525f67693e2fff51f0,0x03deec5cf5df67254450b768da6ab9c8ef4356cce6e6bb8a542452c1757f3b1f,33,vermilion,tan,curly,small,25d86b0f 11cc59c1 0bef8a85 05101374 035e27fc 00000000 00000000 00000000 07e51f3d cba3c90a 00000000 75c1c9e0 2a3afead 8a9321f4 00000000 00000000 a9127e30 b2018ae6 0e08a161 1feffda9 0e06ca5c da7b3ce6 d2cdde6b 00000000 2f049c17 00000000 82627f61 00000000 034c22d2 98089e53 bb5d4ed6 00000000 5c192e07 00000000 00000000 00000000 00000000 00000000 418e420c ae241287 00000000 185aa907 00000000 00000000 6749981b 00000000 9889531a 00000000 00000000 00000000 068f8056 00000000 00000000 bfdcf5b6 00000000 00000000 00000000 00000000 992ebba8 00000000 6ad9612f 00000000 09ed7083 00000000
83,22838990,0x0420e243d8ab4a22dadded1ead8cdcca14074d7c,0xf66d004f8754e1dc3eb7a569c01ccdab046c3696,0xa0225d2c3f441cfd2f8e3aad5c3820b55b2fcf9a51f8a07410fcc0430c6df43e,0x3a5876bf6fd0877594633e7c7d908ad9bd6272a2cb4920b2e97835c473ab4a9d,34,white,yellow,dumpy,large,b070214b 00000000 7cb79324 b1543851 e40cbb91 00000000 00000000 f8713ccd 00000000 7101100f 00000000 7758378d 00000000 00000000 37ca33b6 00000000 75fc26e3 6ef6bc33 00000000 591451f9 00000000 9ace5f58 00000000 80baa9e4 bbf82fd2 dda4ed19 00000000 00000000 0d29f931 5b82171c d95e040a 00000000 00000000 00000000 6ac93575 00000000 00000000 00000000 743185b0 73a71579 47dcac05 00000000 abc342e0 00000000 4945ffdc 561798ee 00000000 00000000 00000000 00000000 00000000 b23cd393 4eaa0c7a 62d6fa7d e8f24b98 00000000 40455c7a 00000000 00000000 76c05fac 00000000 3043b923 3e4028b7 742d0068
84,22839020,0x45828555f1ccd93c76f7e1b19822e7294946415a,0x5c8bdec4e14abafc25497ba1ad16b28367ee0638,0x61e17e85857a30b82ba54bd4c420551f50db5b7e4ce927a566e76ab9003f1954,0x93c46c08f4fe5e18cfa7c0d4ddb69bdf7a97f9bf26a8b82c70cc7fd18f9c7c71,36,brown,yellow,vestigial,large,fea564a9 00000000 00000000 00000000 5c3bf635 89f478aa 9a630f35 00000000 00000000 00000000 60346bb0 c09badf7 44bd3f99 a69ee584 422c5b8d 00000000 00000000 00000000 eaf63aac 63ae16e5 26d3bc1f 00000000 00000000 ccd16152 cc72ae85 236a6480 ff554908 a9c279be 00000000 00000000 00000000 3bc361d0 63bca1cf 00000000 00000000 00000000 a5ad710c 00000000 a417556d 3a2b3849 e22e4ece 2d66c472 6e442ba8 b39e8b54 a984646c 93151929 5916f753 00000000 00000000 00000000 31d329a5 68ae82e0 00000000 00000000 ec411d8f 9d7094da 00000000 00000000 00000000 00000000 10cb3b49 0dd0758b 87ee774e 00000000
85,22839084,0xc9d6c183b4acafbdaf8c398adee039f17c86321d,0x4d2ce0e48293db80c546ce62b504bdf3b776cf67,0xe1455ec4902d8b3e0053b8bb74556ebd0f8ee557acb3946f572c366b772b9d42,0x43361d5893474255b9538f803539004c0fcb589d85c340d98563dafb505b4f32,34,sepia,ebony,curly,small,00000000 e5089e70 00000000 00000000 a8f593da f2f149c4 00000000 00000000 46ebc82b dd482b26 6c186d67 32fccc55 00000000 00000000 5e465efa 00000000 92bfd6a7 e7879025 00000000 c7756e2e 0d68f4d5 00000000 bbae9a57 00000000 00000000 00000000 00000000 00000000 38c2b6b9 00000000 d02f90a5 00000000 573a2601 b92907a0 00000000 d3e0524d e43c1b7f ff2c36aa e781d9ef eb8b2ddb 00000000 e09edddf 00000000 c4df0162 2a1e3948 00000000 12618a44 a1a3532f 8e7e9be3 a754776e 00000000 00000000 00000000 50631da0 41265d82 00000000 14bee79a 00000000 b216cea1 00000000 00000000 00000000 00000000 1dff2dac
86,22839111,0x0dd5ff179c68dd64fa712da08b550ec3a7d3bd73,0x3c773b21447d5b6e7d7026a9b15166d7cb4a848f,0xf6f384a097a957b8ad16afa4b4c2a5ad534120f966cabd30ce578c8f665d1da3,0x6423a4b2ff8738e6b515d305ff547078e1cc55c60a0199412a8de9e5f5ccc349,34,brown,ebony,curly,large,930b0f56 00000000 00000000 5482b13a 00000000 00000000 939ef144 00000000 a0dbd5de ba30eb72 00000000 00000000 00000000 00000000 2585a36b 9d838863 00000000 00000000 b14e235d 65ef31ef 00000000 00000000 057ddfe2 ed82fb3f a6475eda 00000000 c50dd958 00000000 fcabe020 a4b853e6 1808d304 5f1e1010 ee556d89 00000000 3f2015f6 00000000 00000000 5dc563ea c877c053 b47ff6b5 af0321f9 00000000 00000000 fe54c29c 00000000 b48baf9b d21a3d1d 7f0fa21c 416ce858 00000000 f48f63d9 7494b7cc 00000000 00000000 00000000 d880a470 00000000 ce8a851a 00000000 053c4c4b 00000000 c5ff1ba2 00000000 00000000
87,22839141,0xc9d6c183b4acafbdaf8c398adee039f17c86321d,0xc2c273f0475817449f1cb0e26f025bb003ed833b,0x4bf3ccb1eb73eaf77b39c593654a09774c22572cf56bcf7c86bc91fd1a85688d,0x1fe0f06b5c5328fd416b51a3277956a6af41abce3805c06d4f0bdc60d26e7a33,33,brown,yellow,vestigial,small,563fced1 09e6a90d 00000000 00000000 ed151b26 69a59601 00000000 00000000 00000000 fc307fb9 00000000 e536a7fc bbf81bf9 434726e6 d5314e1f 00000000 00000000 ad97b1f3 11edc02b bbe4fb21 00000000 2b514a5c 9788ad1d 00000000 00000000 f684baef 00000000 00000000 b0cedaaa 00000000 4dd93d3d d307e9de 00000000 00000000 00000000 00000000 00000000 6f9f0bf5 518a5b5f 00000000 00000000 00000000 1222d4ee 40c34e7d 0a3a3dce 00000000 d5b3a51f 820de7a3 9f3dc77b 48dd91ae 00000000 a238ed0f 00000000 00000000 00000000 00000000 c8773a13 f916bce8 b4078178 8136aace 00000000 00000000 5cbc5b86 00000000
88,22839156,0xa2e8a61f22e3b61c65e9b2b068012b47081bed7c,0x58299b2d032fceab016574d4747667ece7714ed7,0x59c37db7e7520336b8468e136180591de3a2def628f4124609d110c29febddcc,0xa23e024ac1073cec2fca5f3b8b3b190ba885269e28ae4e519d060c47d98fd712,31,brown,yellow,dumpy,large,00000000 5640b443 00000000 00000000 fa51b8e0 00000000 00000000 00000000 c93b7021 e488c1ae 0242ecb2 00000000 0a437586 00000000 87263c39 65f8f983 17f83a92 20623350 417d222b 945d8112 00000000 00000000 00000000 87af77c7 132bf192 00000000 00000000 cef5853f 6f7f96fa 00000000 b0917432 b4ae9fe8 7ca5ecf0 a3e0a0f1 575a0445 00000000 00000000 00000000 cc190203 00000000 00000000 00000000 b51f2089 6ebf533b 00000000 00000000 00000000 00000000 00000000 6c9ceabe a332fa4a 00000000 00000000 00000000 00000000 00000000 ea5a7151 00000000 dea09a00 b2205d87 cc8ca913 00000000 00000000 a70932a1
89,22839202,0xc9d6c183b4acafbdaf8c398adee039f17c86321d,0x7c5ec6b5b8b6067fffe673d31606363518ea7a1a,0x870a4773991a19020c4e0db49f9b5f5a3a548d97b35a0d3124e7a8eaecaaa7e1,0x6ef36e59e6574221b1d0c8dd69cc4478b4832516a4bcb31601dc76744c8dfb65,33,brown,ebony,vestigial,small,728b4372 00000000 486eb2aa 00000000 00000000 19433801 9ab268a4 00000000 37de0b4d e3841697 00000000 c9bf8ecf 06dc0e11 9dbe3644 e88e8134 c854117c e39c485e 00000000 87522383 a101c608 00000000 00000000 00000000 45a0edb0 00000000 00000000 8fda27c1 1ae8c253 00000000 00000000 b5bd1a54 00000000 00000000 00000000 936dc01a 00000000 c1a20bcb 1206aba5 768957cb 00000000 00000000 fec087f2 192ed4fd 00000000 ecaad834 eb5133f0 80821e89 00000000 00000000 00000000 41d08093 4a820768 3225e9af 00000000 98c3f316 32cedf0e 11e42b98 00000000 00000000 00000000 00000000 00000000 00000000 00000000
90,22839237,0x0dd5ff179c68dd64fa712da08b550ec3a7d3bd73,0x38d21b0322ad1d7c1fdfe00899fb9f7fc31dc6a6,0x613d10a73ec3f41db74c8320cfa37ca88ccb5e510582464b338a922be37260ce,0x4f4ca56066fc3fc0f102eb61b2d79c8dbbd182a99a110e2436a1e5c2fa4743d7,34,brown,tan,dumpy,small,b3ac3d82 66128e53 1e3da037 00000000 909a6c31 00000000 6aedab47 a048e0ad 17ddf96c 251a7891 00000000 00000000 00000000 00000000 b54c1b6a 00000000 b18c818d c8cae7a7 2447a17c 00000000 00000000 00000000 dc74349f 00000000 00000000 af98dec0 00000000 84b95a0a b3719a2e 8defb4d7 6c4f78f4 893f94a3 00000000 1ee895b2 00000000 00000000 00000000 00000000 d11eae7f b11e5721 facb8b80 00000000 72d5e2dc 00000000 00000000 89fe6a39 dccc04fe b0ac4c8b f07532e9 00000000 00000000 00000000 00000000 2956e2ca 00000000 d10135b2 00000000 0d605181 4c6779df 00000000 561f3add cce7cd82 00000000 00000000
91,22839539,0xafd6e6a4c331a0112ed9fbc306fba05b44d87020,0x4306ca49003b53f4b63deabdc716296e4c126522,0xbb8d084ceba4952aa834481aec577eb511be4efd1facd560d3caf9bd28e38cf6,0xf1943c00d1c432dbb6f4d3d6c7a32118e8a3b2e9f2ff03b5381946e981549733,28,white,yellow,vestigial,large,94a0e3fa 508af073 00000000 00000000 8f9f2f15 a7b39049 00000000 00000000 74a3736b 935252a5 7b18eafa 00000000 a5e90f04 00000000 00000000 d1a01495 00000000 00000000 880b6aaa 00000000 91033e21 00000000 21f7b7e7 00000000 c5503bde 00000000 00000000 00000000 00000000 00000000 00000000 51304131 beed7332 00000000 00000000 bf2a302f 00000000 70869a4b df9cb93d 8baa4cc1 00000000 9ad42c5c faf753cc 00000000 00000000 00000000 cd49bc6a 00000000 1991acbc 00000000 00000000 2fd7254d 69f55576 00000000 00000000 00000000 00000000 00000000 00000000 40b80c62 77fca643 85e5413b 00000000 00000000
